Key,Year,Identifier,Model,Model2,Category,Validation,Training (%),Test (%),Time Horizon,Time Horizon (Months),Rank within study,RMSE,nRMSE,R-Squared,R,MAE,MAPE,MASE,CORR,ME,SMAPE,MSE,Lambda,CVE,Pearson's correlation coefficient (ρ),Note/Input Variables,EXCLUDE
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,1,3.959,,,,2.813,,,,,,,,,,Ninh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,3,3.997,,,,2.911,,,,,,,,,,Can Tho,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,9,4.072,,,,3.973,,,,,,,,,,Quang Ninh,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,1,4.098,,,,3.371,,,,,,,,,,Tien Giang,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,1,4.11,,,,2.935,,,,,,,,,,Ca Mau,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,2,4.389,,,,3.304,,,,,,,,,,Soc Trang,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,2,4.415,,,,3.845,,,,,,,,,,Tien Giang,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,1,4.448,,,,3.537,,,,,,,,,,Kien Giang,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,2,4.462,,,,3.143,,,,,,,,,,Tra Vinh,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,3,4.482,,,,4.005,,,,,,,,,,Tra Vinh,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,2,4.49,,,,3.553,,,,,,,,,,Ca Mau,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,4,4.82,,,,3.528,,,,,,,,,,Tra Vinh,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,4,4.866,,,,4.469,,,,,,,,,,Can Tho,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,2,5.064,,,,3.733,,,,,,,,,,Ninh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,5,5.079,,,,3.765,,,,,,,,,,Kien Giang,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,2,5.123,,,,4.405,,,,,,,,,,Tay Ninh,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,3,5.14,,,,3.875,,,,,,,,,,Ninh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,3,5.461,,,,3.747,,,,,,,,,,An Giang,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,3,5.499,,,,4.582,,,,,,,,,,Ca Mau,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,3,5.62,,,,4.876,,,,,,,,,,Tien Giang,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,4,5.699,,,,4.462,,,,,,,,,,An Giang,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,3,5.887,,,,4.54,,,,,,,,,,Soc Trang,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,6.073,,,,5.196,,,,,,,,,,Hai Phong,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,4,6.192,,,,4.393,,,,,,,,,,Soc Trang,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,3,6.5,,,,5.305,,,,,,,,,,Tay Ninh,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,4,6.538,,,,5.218,,,,,,,,,,Tay Ninh,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,2,6.577,,,,5.02,,,,,,,,,,Binh Phuoc,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,5,6.595,,,,4.864,,,,,,,,,,Can Tho,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,5,6.6,,,,5.585,,,,,,,,,,Tay Ninh,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,1,6.63,,,,3.457,,,,,,,,,,Ha Noi,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,1,6.696,,,,4.116,,,,,,,,,,Quang Nam,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,2,6.89,,,,4.039,,,,,,,,,,Quang Nam,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,7.213,,,,5.46,,,,,,,,,,Tay Ninh,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,7.35,,,,5.517,,,,,,,,,,Tay Ninh,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,3,7.382,,,,3.766,,,,,,,,,,Quang Nam,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,3,7.466,,,,5.353,,,,,,,,,,Binh Phuoc,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,5,7.777,,,,6.762,,,,,,,,,,An Giang,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,4,7.912,,,,6.589,,,,,,,,,,Tien Giang,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,9,7.938,,,,7.838,,,,,,,,,,Hai Phong,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,7.954,,,,7.021,,,,,,,,,,An Giang,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,2,7.999,,,,4.926,,,,,,,,,,Ha Noi,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,1,8.08,,,,6.579,,,,,,,,,,Quang Ngai,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,1,8.259,,,,6.3,,,,,,,,,,Binh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,2,8.364,,,,6.606,,,,,,,,,,Binh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,8.672,,,,7.057,,,,,,,,,,An Giang,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,8.689,,,,6.725,,,,,,,,,,Can Tho,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,4,8.743,,,,5.351,,,,,,,,,,Ninh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,3,8.826,,,,6.495,,,,,,,,,,Binh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,2,8.861,,,,5.913,,,,,,,,,,Quang Ngai,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,3,8.874,,,,6.183,,,,,,,,,,Quang Ngai,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,5,9.027,,,,5.589,,,,,,,,,,Ninh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,4,9.043,,,,5.71,,,,,,,,,,Ca Mau,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,1,9.063,,,,6.846,,,,,,,,,,Binh Phuoc,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,4,9.096,,,,6.739,,,,,,,,,,Quang Ngai,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,3,9.18,,,,5.065,,,,,,,,,,Ha Noi,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,1,9.187,,,,6.604,,,,,,,,,,Phu Yen,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,5,9.288,,,,6.699,,,,,,,,,,Quang Ngai,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,7,9.349,,,,8.148,,,,,,,,,,Can Tho,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,9.395,,,,6.622,,,,,,,,,,Tay Ninh,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,9,9.45,,,,8.22,,,,,,,,,,Tay Ninh,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,9.502,,,,8.476,,,,,,,,,,An Giang,
RIW7YKUL,2022,"Nguyen, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,2,9.544,,,,7.342,,,,,,,,,,Phu Yen,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,5,9.584,,,,8.897,,,,,,,,,,Bac Lieu,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,8,9.649,,,,7.546,,,,,,,,,,Binh Phuoc,
RIW7YKUL,2022,"Nguyen, 2022",CNN,CNN,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,3,9.766,,,,6.433,,,,,,,,,,Phu Yen,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,10.035,,,,9.142,,,,,,,,,,Bac Lieu,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,4,10.12,,,,7.28,,,,,,,,,,Binh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,5,10.129,,,,7.984,,,,,,,,,,Tra Vinh,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,6,10.181,,,,7.112,,,,,,,,,,Quang Ngai,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,5,10.302,,,,7.755,,,,,,,,,,Binh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,9,10.504,,,,9.423,,,,,,,,,,An Giang,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,11.113,,,,9.442,,,,,,,,,,Quang Ngai,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,4,11.301,,,,5.695,,,,,,,,,,Ha Noi,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,11.841,,,,9.399,,,,,,,,,,Bac Lieu,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,5,11.946,,,,10.283,,,,,,,,,,Soc Trang,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,4,11.99,,,,8.216,,,,,,,,,,Quang Nam,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,6,12.031,,,,9.692,,,,,,,,,,Binh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,12.227,,,,10.31,,,,,,,,,,Soc Trang,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,12.324,,,,11.494,,,,,,,,,,Bac Lieu,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,12.441,,,,9.028,,,,,,,,,,Ninh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,12.442,,,,9.376,,,,,,,,,,Tra Vinh,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,4,12.544,,,,10.167,,,,,,,,,,Phu Yen,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,9,12.574,,,,10.042,,,,,,,,,,Binh Phuoc,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,12.671,,,,10.683,,,,,,,,,,Soc Trang,
RIW7YKUL,2022,"Nguyen, 2022",Transformer,Transformer,Deep Learning,Training/Testing Data,85,15,Monthly ,not clear,5,12.678,,,,8.353,,,,,,,,,,Quang Nam,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,12.949,,,,9.929,,,,,,,,,,Binh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,5,13.382,,,,7.199,,,,,,,,,,Ha Noi,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,13.504,,,,8.73,,,,,,,,,,Quang Nam,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,5,13.55,,,,10.671,,,,,,,,,,Tien Giang,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,13.63,,,,9.435,,,,,,,,,,Tra Vinh,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,13.88,,,,11.225,,,,,,,,,,Binh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,13.908,,,,10.326,,,,,,,,,,Soc Trang,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,13.969,,,,9.567,,,,,,,,,,Quang Nam,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,14.289,,,,11.692,,,,,,,,,,Tra Vinh,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,9,14.512,,,,11.898,,,,,,,,,,Binh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,14.648,,,,10.893,,,,,,,,,,Tien Giang,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,5,14.72,,,,12.015,,,,,,,,,,Ca Mau,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,9,14.752,,,,11.766,,,,,,,,,,Tra Vinh,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,4,14.796,,,,10.957,,,,,,,,,,Binh Phuoc,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,15.279,,,,13.103,,,,,,,,,,Ca Mau,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,15.434,,,,11.802,,,,,,,,,,Quang Nam,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,15.974,,,,14.381,,,,,,,,,,Ca Mau,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,4,16.07,,,,13.859,,,,,,,,,,Kien Giang,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,16.093,,,,14.397,,,,,,,,,,Kien Giang,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,5,16.209,,,,11.923,,,,,,,,,,Phu Yen,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,16.247,,,,14.204,,,,,,,,,,Tien Giang,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,9,16.448,,,,10.505,,,,,,,,,,Quang Nam,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,16.455,,,,14.652,,,,,,,,,,Kien Giang,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,16.689,,,,9.077,,,,,,,,,,Ha Noi,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,9,16.809,,,,12.334,,,,,,,,,,Kien Giang,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,16.878,,,,9.542,,,,,,,,,,Ha Noi,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,17.162,,,,8.397,,,,,,,,,,Ha Noi,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,17.26,,,,15.816,,,,,,,,,,Ninh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,17.507,,,,13.715,,,,,,,,,,Binh Phuoc,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,17.611,,,,13.528,,,,,,,,,,Tien Giang,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,8,17.736,,,,16.263,,,,,,,,,,Ca Mau,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,17.746,,,,14.78,,,,,,,,,,Binh Phuoc,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,9,18.144,,,,8.637,,,,,,,,,,Ha Noi,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,9,18.336,,,,15.919,,,,,,,,,,Tien Giang,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,18.503,,,,16.782,,,,,,,,,,Can Tho,
RIW7YKUL,2022,"Nguyen, 2022",LR,LR,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,6,19.278,,,,13.429,,,,,,,,,,Phu Yen,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,7,19.329,,,,15.608,,,,,,,,,,Phu Yen,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,20.274,,,,17.566,,,,,,,,,,Ninh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,9,20.489,,,,11.213,,,,,,,,,,Ca Mau,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,20.562,,,,17.67,,,,,,,,,,Phu Yen,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,9,20.628,,,,18.062,,,,,,,,,,Phu Yen,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,5,21.731,,,,16.44,,,,,,,,,,Binh Phuoc,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,9,23.812,,,,19.599,,,,,,,,,,Bac Lieu,
RIW7YKUL,2022,"Nguyen, 2022",XGBoost,XGBoost,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,9,24.833,,,,17.633,,,,,,,,,,Ninh Thuan,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,9,27.518,,,,27.37,,,,,,,,,,Can Tho,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,8,27.721,,,,24.494,,,,,,,,,,Quang Ngai,
RIW7YKUL,2022,"Nguyen, 2022",SVM,SVM,Machine Learning,Training/Testing Data,85,15,Monthly ,not clear,9,37.677,,,,36.921,,,,,,,,,,Quang Ngai,
RIW7YKUL,2022,"Nguyen, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,85,15,Monthly ,not clear,9,42.093,,,,36.243,,,,,,,,,,Soc Trang,
L9H2JIPE,2022,"Othman, 2022",SARIMA,SARIMA,Time Series,Training/Testing Data,66.66,33.33,1M,1,1,38.00313,,,,33.54329,54.56585,,,,,,,,,,
L9H2JIPE,2022,"Othman, 2022",LSTM,LSTM,Deep Learning,Training/Testing Data,66.66,33.33,1M,1,2,45.37822,,,,41.45632,76.983421,,,,,,,,,,
L9H2JIPE,2022,"Othman, 2022",ARIMA,ARIMA,Time Series,Training/Testing Data,66.66,33.33,1M,1,3,77.42119,,,,71.02259,104.95288,,,,,,,,,,
PWBN3Q48,2023,"Panja, 2023",ARNNX,Hybrid ,Hybrid ,Training/Testing Data,90,10,26W,5.97,1,1.62,,,,1.36,,86.52,,,0.94,,,,,"26W, Iquitos",
PWBN3Q48,2023,"Panja, 2023",ARNN,ARNN,Deep Learning,Training/Testing Data,90,10,26W,5.97,2,1.63,,,,1.36,,86.52,,,0.94,,,,,"26W, Iquitos",
PWBN3Q48,2023,"Panja, 2023",Theta,Theta,Time Series,Training/Testing Data,90,10,26W,5.97,3,1.85,,,,1.63,,85.81,,,1.13,,,,,"26W, Iquitos",
PWBN3Q48,2023,"Panja, 2023",Exponential Smoothing,Exponential Smoothing,Machine Learning,Training/Testing Data,90,10,26W,5.97,4,1.86,,,,1.64,,85.85,,,1.14,,,,,"26W, Iquitos",
PWBN3Q48,2023,"Panja, 2023",Exponential Smoothing,Exponential Smoothing,Machine Learning,Training/Testing Data,90,10,26W,5.97,5,1.86,,,,1.64,,85.86,,,1.14,,,,,"26W, Iquitos",
PWBN3Q48,2023,"Panja, 2023",XEWNet ,Ensemble,Ensemble,Training/Testing Data,90,10,26W,5.97,6,1.98,,,,1.57,,79.95,,,1.09,,,,,"26W, Iquitos",
PWBN3Q48,2023,"Panja, 2023",XEWNet ,Ensemble,Ensemble,Training/Testing Data,90,10,26W,5.97,1,2.04,,,,2.36,,128.5,,,1.79,,,,,"26W, Ahmedabad",
PWBN3Q48,2023,"Panja, 2023",ARNN,ARNN,Deep Learning,Training/Testing Data,90,10,26W,5.97,2,2.05,,,,2.69,,119.5,,,1.28,,,,,"26W, Ahmedabad",
PWBN3Q48,2023,"Panja, 2023",ARNNX,Hybrid ,Hybrid ,Training/Testing Data,90,10,26W,5.97,3,2.07,,,,2.71,,122.7,,,1.29,,,,,"26W, Ahmedabad",
PWBN3Q48,2023,"Panja, 2023",ARNN - Theta - ETS ,Hybrid ,Hybrid ,Training/Testing Data,90,10,26W,5.97,7,2.21,,,,1.94,,89.54,,,1.35,,,,,"26W, Iquitos",
PWBN3Q48,2023,"Panja, 2023",EWNet,EWNet,Deep Learning,Training/Testing Data,90,10,26W,5.97,8,2.25,,,,1.95,,89.1,,,1.35,,,,,"26W, Iquitos",
PWBN3Q48,2023,"Panja, 2023",BSTS,BSTS,Time Series,Training/Testing Data,90,10,26W,5.97,9,2.37,,,,2.08,,91.19,,,1.44,,,,,"26W, Iquitos",
